iter	trainperf	valiperf
0	0.4270833333333333	0.4166666666666667
1	0.2916666666666667	0.3333333333333333
2	0.28125	0.3333333333333333
3	0.2916666666666667	0.3333333333333333
4	0.3229166666666667	0.3333333333333333
5	0.34375	0.3333333333333333
6	0.34375	0.3333333333333333
7	0.34375	0.3333333333333333
8	0.3541666666666667	0.3333333333333333
9	0.3541666666666667	0.3333333333333333
10	0.375	0.375
11	0.4479166666666667	0.4166666666666667
12	0.6145833333333334	0.5833333333333334
13	0.6979166666666666	0.625
14	0.7083333333333334	0.625
15	0.71875	0.625
16	0.71875	0.625
17	0.71875	0.625
18	0.7083333333333334	0.625
19	0.7083333333333334	0.625
20	0.7083333333333334	0.625
21	0.7083333333333334	0.625
22	0.7083333333333334	0.625
23	0.7083333333333334	0.625
24	0.7083333333333334	0.625
25	0.7083333333333334	0.625
26	0.7083333333333334	0.625
27	0.6979166666666666	0.625
28	0.6979166666666666	0.625
29	0.6979166666666666	0.625
30	0.6979166666666666	0.625
31	0.6979166666666666	0.625
32	0.6979166666666666	0.625
33	0.6979166666666666	0.625
34	0.6979166666666666	0.625
35	0.6979166666666666	0.625
36	0.6979166666666666	0.625
37	0.6979166666666666	0.625
38	0.6979166666666666	0.625
39	0.6979166666666666	0.625
40	0.6979166666666666	0.625
41	0.6979166666666666	0.625
42	0.6979166666666666	0.625
43	0.6979166666666666	0.625
44	0.6979166666666666	0.625
45	0.6979166666666666	0.625
46	0.6979166666666666	0.625
47	0.6979166666666666	0.625
48	0.6979166666666666	0.625
49	0.6979166666666666	0.625
50	0.6875	0.625
51	0.6875	0.625
52	0.6875	0.625
53	0.6875	0.625
54	0.6979166666666666	0.625
55	0.6979166666666666	0.625
56	0.6979166666666666	0.625
57	0.6979166666666666	0.625
58	0.6979166666666666	0.625
59	0.6979166666666666	0.625
60	0.7083333333333334	0.625
61	0.7083333333333334	0.625
62	0.7083333333333334	0.625
63	0.7083333333333334	0.625
64	0.7083333333333334	0.625
65	0.7083333333333334	0.625
66	0.7083333333333334	0.625
67	0.7083333333333334	0.625
