m	n	m1	m2	m3	nodes	time	size
40	10	18.892439	1.7468379	2.0906231	219.8	0.0014000001	10
40	20	2.24629	3.1364658	3.1321352	20615.1	3.1880999	10
40	30	9.408647	3.3169918	3.3198495	22973.6	6.982101	10
40	40	9.94798	3.4721622	3.474571	36378.7	12.683599	10
40	50	7.0625	4.1801906	4.180369	263071.3	757.7778	10
40	60	6.3	4.030538	4.0308523	81169.2	38.603897	10
40	70	5.9	3.163308	3.1640549	79938.5	47.113003	10
40	80	5.5	2.610549	2.6116378	42684.5	20.858603	10
40	90	3.1000001	2.8330803	2.8333433	45957.402	19.747	10
40	100	2.4	2.3959494	2.396178	23865.8	3.3848999	10
