m	n	m1	m2	m3	nodes	time	size
50	10	22.218546	1.8477957	2.1143148	255.3	0.0012000002	10
50	20	3.8517036	3.278373	3.273897	14255.4	1.6522	10
50	30	9.16304	4.3577595	4.3586607	437467.75	2941.5151	8
