m	n	m1	m2	m3	nodes	time	size
30	10	10.424922	1.8365338	2.0314739	247.40001	0.0014000001	10
30	20	3.4939556	2.8362417	2.872937	13082.5	2.2157	10
30	30	6.8234177	2.7816074	2.804844	8162.8003	0.77440006	10
30	40	4.9444447	3.1625526	3.1653726	37759.402	33.146404	10
30	50	3.2791665	3.0189064	3.0193908	7817.2	0.80039996	10
30	60	3.147619	2.2128413	2.2140622	3684.6	0.23290001	10
30	70	2.1000001	2.0456188	2.0461917	2112.9001	0.0818	10
30	80	1.1	2.0803592	2.0798337	3180.0	0.167	10
30	90	0.7	2.0551379	2.054907	1159.2001	0.048	10
30	100	0.3	1.7868248	1.7860159	1401.7001	0.076100014	10
