m	n	m1	m2	m3	nodes	time	size
10	10	2.5	0.88031286	1.1391941	28.0	0.0030000003	10
10	20	0.90000004	1.1246575	1.1282165	21.0	0.0012000002	10
10	30	0.1	0.9096009	0.91376764	18.800001	6.000001E-4	10
10	40	0.5	0.6173611	0.6971592	12.400001	4.0000002E-4	10
10	50	0.4	0.5964206	0.69856817	9.7	3.0E-4	10
10	60	0.0	0.5144643	0.5144643	13.900001	2.0000001E-4	10
10	70	0.1	0.5828572	0.58841276	9.900001	2.0000001E-4	10
10	80	0.0	0.2888889	0.2888889	8.0	0.0	10
10	90	0.0	0.61904764	0.61904764	6.9	1.00000005E-4	10
10	100	0.0	0.5385715	0.5385715	8.8	4.0000002E-4	10
